date,gfs_seamless,ecmwf_ifs025,icon_seamless,ukmo_seamless,gem_seamless,jma_seamless,realized
2026-08-01,,,,,,,30
2026-08-02,27.0,28.1,27.7,27.9,27.8,26.9,
2026-08-03,28.6,28.2,29.8,28.8,27.3,28.8,29
2026-08-04,31.5,28.8,30.4,31.9,29.1,29.6,30
2026-08-05,34.0,30.7,31.8,32.2,31.1,29.8,31
2026-08-06,35.3,30.8,32.7,33.2,33.2,32.6,31
2026-08-07,34.7,32.6,32.3,35.2,33.1,33.0,
