fetchedAt,csvStamp,csvVal,rhrStamp,rhrVal,webStamp,webVal,metarStamp,metarVal,marketPrices
2026-09-07T05:30:42.318Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":78;"31°C":19;"32°C":6;"33°C":1;"34°C":0;"35°C or higher":0}
2026-09-07T05:31:13.421Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":78;"31°C":19;"32°C":6;"33°C":1;"34°C":0;"35°C or higher":0}
2026-09-07T05:31:44.565Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":78;"31°C":19;"32°C":6;"33°C":1;"34°C":0;"35°C or higher":0}
2026-09-07T05:32:16.631Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":78;"31°C":19;"32°C":6;"33°C":1;"34°C":0;"35°C or higher":0}
2026-09-07T05:32:48.069Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:33:19.461Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:33:50.552Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:34:22.215Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:34:53.157Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:35:24.103Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:35:55.053Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:36:27.145Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:36:58.856Z,202609071320,28.8,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":82;"31°C":17;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:37:30.685Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:38:02.136Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:38:33.758Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:39:04.956Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:39:36.384Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:40:07.660Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:40:39.858Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:41:11.506Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:41:42.929Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:42:14.338Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":12;"32°C":2;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:42:45.373Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:43:16.744Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:43:48.366Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:44:19.949Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:44:52.057Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:45:23.712Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
